Order,Organism,Accession,J_max,P1,Higher_odd,C_odd,Phase_p,Phase_q_BH,Resolution_stable
1,Francisella tularensis subsp. holarctica OSU18,NC_017463.1,0.6025427076374872,0.4245537657178253,0.2857275073790365,0.8483156327779429,0.1822,0.341625,True
2,Mycoplasma mycoides subsp. capri str. GM12,NZ_CP001668.1,0.395121151227381,0.124118605040217,0.4199927190830335,0.7261770408179914,0.38,0.475,False
3,Candidatus Endomicrobium trichonymphae,NC_020419.1,0.6981670491277708,0.5843106426475245,0.193301197299865,0.8978349007327439,0.4942,0.5702307692307692,True
4,Streptococcus mitis NCTC 12261,NZ_CP028414.1,0.8424754256540404,0.6200290845802342,0.2603889484838514,0.9569038729499952,0.0002,0.0029999999999999,True
5,Enterococcus casseliflavus EC20,NC_020995.1,0.873810945109734,0.6955020889733613,0.2190642198005102,0.9554374972343156,0.0004,0.0029999999999999,True
6,Prevotella sp. oral taxon 299 str. F0039,NC_022124.1,0.3432312805026083,0.0055115512942567,0.5178946793729498,0.6557646057538864,0.3102,0.423,False
7,Rhizobium sp. CIAT894,NZ_CP020947.1,0.4902255416404526,0.2045035634678131,0.4369425103078119,0.7642505920332928,0.0724,0.1551428571428571,True
8,Acidithiobacillus caldus ATCC 51756,NZ_CP005986.1,0.5265822711447135,0.3379234814579653,0.3343343363111436,0.7833040497649837,0.9366,0.9366,False
9,Acinetobacter baumannii D1279779,NC_020547.2,0.7862947975998464,0.5932020345426041,0.2515336334094423,0.9308175651042622,0.0006,0.0029999999999999,True
10,Bordetella pertussis B1917,NZ_CP009751.1,0.399968333329825,0.1220135780498689,0.429559248451534,0.7251414756357791,0.2524,0.3786,True
11,Clostridioides difficile CF5,NC_017173.1,0.8655451180986239,0.6958350797370153,0.2045324453167551,0.9613242303990618,0.0008,0.003,False
12,Bifidobacterium breve UCC2003,NC_020517.1,0.3612310662471809,0.1018778457218442,0.433412684507571,0.674831789182529,0.6372,0.6827142857142857,False
13,Thioalkalivibrio paradoxus ARh 1,NZ_CP007029.1,0.7030762765111078,0.5002398470925701,0.2827378445371106,0.8979518625207993,0.0038,0.0114,True
14,Thermobacillus composti KWC4,NC_019897.1,0.6236296897179677,0.4967685133818528,0.2071921927419376,0.8858870733735291,0.2278,0.3786,True
15,Cytobacillus oceanisediminis 2691,NZ_CP015506.1,0.8519300589739972,0.7125195884180083,0.1740942003217033,0.960880678592856,0.0054,0.0135,True
