order,organism,genus,sequence_accession,expected_length_bp,analysis_bins,J_max,symmetry_entropy_bits,E_pp_fraction,E_mp_fraction,E_pm_fraction,E_mm_fraction,first_harmonic_power_fraction,hminus_energy_fraction,higher_odd_energy_fraction,odd_axis_coherence,J_gain_over_k1,projector_axis_fraction,first_harmonic_axis_fraction,cumulative_axis_fraction,k1_preserved_null_mean_J,k1_preserved_null_q95_J,k1_preserved_null_q99_J,k1_preserved_phase_p,projector_axis_fraction_256,J_max_256,axis_shift_256_degrees,projector_axis_fraction_1024,J_max_1024,axis_shift_1024_degrees,resolution_stable,k1_preserved_phase_q_BH,J_minus_null_q95
1,Francisella tularensis subsp. holarctica OSU18,Francisella,NC_017463.1,1895727,512,0.6025427076374872,1.5838762678967655,0.1769485593362471,0.1127701675668911,0.1077385654593744,0.6025427076374872,0.4245537657178253,0.7102812730968618,0.2857275073790365,0.8483156327779429,0.1779889419196618,0.0595703125,0.0739699789765431,0.4980468749999999,0.5953140830801144,0.6088595093474124,0.6150870738974962,0.1822,0.05859375,0.6739778878236788,0.3515625,0.0595703125,0.5584228199289047,0.0,True,0.341625,-0.006316801709925213
2,Mycoplasma mycoides subsp. capri str. GM12,Mycoplasma,NZ_CP001668.1,1084586,512,0.395121151227381,1.9102798088395705,0.2167503380685677,0.2391383378081817,0.1489901728958695,0.395121151227381,0.124118605040217,0.5441113241232506,0.4199927190830335,0.7261770408179914,0.271002546187164,0.021484375,0.065237559602193,0.123046875,0.3927509550421695,0.4111995951775237,0.4194714366158271,0.38,0.056640625,0.4087705054249053,12.65625,0.02099609375,0.3733829311385175,0.17578125,False,0.47500000000000003,-0.016078443950142685
3,Candidatus Endomicrobium trichonymphae,Endomicrobium,NC_020419.1,1125857,512,0.6981670491277708,1.355286787786346,0.1000636250164097,0.1223245350362005,0.0794447908196188,0.6981670491277708,0.5843106426475245,0.7776118399473896,0.193301197299865,0.8978349007327439,0.1138564064802463,0.0966796875,0.0693865604158295,0.4921875,0.6984668040092601,0.7082793511239351,0.7129459962669406,0.4942,0.095703125,0.7308044506211182,0.3515625,0.09765625,0.6651597807892394,0.3515625,True,0.5702307692307692,-0.010112301996164308
4,Streptococcus mitis NCTC 12261,Streptococcus,NZ_CP028414.1,1868883,512,0.8424754256540404,0.8709626019052786,0.0497605055160537,0.0698214614198605,0.0379426074100453,0.8424754256540404,0.6200290845802342,0.8804180330640856,0.2603889484838514,0.9569038729499952,0.2224463410738062,0.498046875,0.4952380696032155,0.4980468749999999,0.77832902325859,0.8139872613035866,0.8222837302581861,0.0002,0.49609375,0.9001570522791413,0.703125,0.4990234375,0.7839546050741216,0.3515625,True,0.0029999999999999996,0.02848816435045387
5,Enterococcus casseliflavus EC20,Enterococcus,NC_020995.1,3427276,512,0.873810945109734,0.7463366684658519,0.0388060180403394,0.046627673185789,0.0407553636641374,0.873810945109734,0.6955020889733613,0.9145663087738716,0.2190642198005102,0.9554374972343156,0.1783088561363727,0.0009765625,0.4962283698092439,0.4980468749999999,0.8252905093267539,0.856460125515986,0.8644158722211143,0.0004,0.0,0.9118594525858768,0.3515625,0.001953125,0.8158776608262909,0.3515625,True,0.0029999999999999996,0.017350819593747957
6,Prevotella sp. oral taxon 299 str. F0039,Prevotella,NC_022124.1,709850,512,0.3432312805026083,1.9583663474329809,0.2168320607685506,0.2597617085642427,0.1801749501645981,0.3432312805026083,0.0055115512942567,0.5234062306672065,0.5178946793729498,0.6557646057538864,0.3377197292083516,0.384765625,0.3973443005295227,0.23046875,0.3399415649782659,0.3552528603144521,0.3633942400010054,0.3102,0.484375,0.330763332539903,35.859375,0.38525390625,0.3271593400001455,0.17578125,False,0.423,-0.012021579811843763
7,Rhizobium sp. CIAT894,Rhizobium,NZ_CP020947.1,4426159,512,0.4902255416404526,1.804073639740643,0.1663213308083274,0.1922325954160476,0.1512205321351724,0.4902255416404526,0.2045035634678131,0.641446073775625,0.4369425103078119,0.7642505920332928,0.2857219781726395,0.47265625,0.4943550297956381,0.4726562499999999,0.4724912251250915,0.4926324219093922,0.502202904733365,0.0724,0.47265625,0.5658431689112127,0.0,0.47314453125,0.4136933871346183,0.17578125,True,0.15514285714285717,-0.002406880268939593
8,Acidithiobacillus caldus ATCC 51756,Acidithiobacillus,NZ_CP005986.1,2777717,512,0.5265822711447135,1.747172038617311,0.1674828214733518,0.1602593607575391,0.1456755466243955,0.5265822711447135,0.3379234814579653,0.672257817769109,0.3343343363111436,0.7833040497649837,0.1886587896867481,0.49609375,0.0103108033459974,0.4941406249999999,0.5385068899445274,0.5535127566457549,0.5620267422142422,0.9366,0.0078125,0.5785135624344402,4.21875,0.00537109375,0.4685451792275683,3.33984375,False,0.9366,-0.02693048550104149
9,Acinetobacter baumannii D1279779,Acinetobacter,NC_020547.2,3704284,512,0.7862947975998464,1.0840367407973666,0.0833671635202183,0.0718971685277351,0.0584408703522,0.7862947975998464,0.5932020345426041,0.8447356679520465,0.2515336334094423,0.9308175651042622,0.1930927630572423,0.0048828125,0.4978911623611609,0.4980468749999999,0.7432524071768367,0.7730438825386946,0.779819403666519,0.0006,0.001953125,0.8522139823371696,1.0546875,0.00537109375,0.7034278947074897,0.17578125,True,0.0029999999999999996,0.013250915061151836
10,Bordetella pertussis B1917,Bordetella,NZ_CP009751.1,4102186,512,0.399968333329825,1.893037281151285,0.1751291116355221,0.2732980618630747,0.151604493171578,0.399968333329825,0.1220135780498689,0.551572826501403,0.429559248451534,0.7251414756357791,0.277954755279956,0.4814453125,0.463007640536127,0.3203125,0.3937624741586273,0.4125490009514362,0.4212514436455367,0.2524,0.48046875,0.4302016836475213,0.3515625,0.48193359375,0.3722576028186524,0.17578125,True,0.3786,-0.012580667621611197
11,Clostridioides difficile CF5,Clostridioides,NC_017173.1,4159517,512,0.8655451180986239,0.779957237135966,0.0521673003700812,0.0474651745761481,0.0348224069551468,0.8655451180986239,0.6958350797370153,0.9003675250537705,0.2045324453167551,0.9613242303990618,0.1697100383616085,0.0,0.0093551161689694,0.4980468749999999,0.8181112000707317,0.8525965467409985,0.8594612745313869,0.0008,0.005859375,0.9104530323572234,2.109375,0.00048828125,0.8240641535121687,0.17578125,False,0.003,0.012948571357625394
12,Bifidobacterium breve UCC2003,Bifidobacterium,NC_020517.1,2422684,512,0.3612310662471809,1.9463938032514847,0.2153965630588331,0.2493129067117518,0.1740594639822342,0.3612310662471809,0.1018778457218442,0.5352905302294152,0.433412684507571,0.674831789182529,0.2593532205253366,0.0029296875,0.4709715190894851,0.001953125,0.3648069229924171,0.3803456638394064,0.3888693405815566,0.6372,0.443359375,0.3817847402630067,21.4453125,0.0029296875,0.3470300661689602,0.0,False,0.6827142857142857,-0.019114597592225502
13,Thioalkalivibrio paradoxus ARh 1,Thioalkalivibrio,NZ_CP007029.1,3756729,512,0.7030762765111078,1.339873728771125,0.0909636566676349,0.1260586517026846,0.0799014151185725,0.7030762765111078,0.5002398470925701,0.7829776916296807,0.2827378445371106,0.8979518625207993,0.2028364294185377,0.4814453125,0.4823008260093522,0.009765625,0.6688927086907382,0.6949148936170194,0.7005212796812976,0.0038,0.48046875,0.770344857416097,0.3515625,0.48193359375,0.6268765118732802,0.17578125,True,0.0114,0.00816138289408841
14,Thermobacillus composti KWC4,Thermobacillus,NC_019897.1,4206343,512,0.6236296897179677,1.5188931281050204,0.185855796336527,0.1101834975396823,0.0803310164058227,0.6236296897179677,0.4967685133818528,0.7039607061237905,0.2071921927419376,0.8858870733735291,0.1268611763361148,0.4658203125,0.4550315727173962,0.037109375,0.6186221720475646,0.6301145154449245,0.6347385767319507,0.2278,0.46484375,0.6740927059190261,0.3515625,0.4658203125,0.569734100309245,0.0,True,0.3786,-0.006484825726956744
15,Cytobacillus oceanisediminis 2691,Cytobacillus,NZ_CP015506.1,5461741,512,0.8519300589739972,0.8235871015021166,0.0773128325645552,0.0360733786957333,0.0346837297657142,0.8519300589739972,0.7125195884180083,0.8866137887397116,0.1740942003217033,0.960880678592856,0.1394104705559888,0.4775390625,0.4748635043296169,0.4980468749999999,0.8161534645551294,0.847201256447243,0.8508160275267399,0.0054,0.474609375,0.8868252455400268,1.0546875,0.4775390625,0.8028135164907991,0.0,True,0.0135,0.004728802526754228
