archive_member,header,matched_accession,length_bp,expected_length_bp,length_match,iupac_only,bad_symbols,raw_sha256,canonical_sha256,header_count
sequence.fasta 26.txt,"NZ_CP015506.1 Cytobacillus oceanisediminis 2691 chromosome, complete genome",NZ_CP015506.1,5461741,5461741,True,True,,eb2978d756325419c53c7a5fe536f92a4fce619632e81d890a482f092c3577cf,a77f136ff1d02e5c190bb48ef7cd9ddfe5f22e111870a379576074769a7e9f75,1
sequence.fasta 25.txt,"NC_019897.1 Thermobacillus composti KWC4, complete sequence",NC_019897.1,4206343,4206343,True,True,,464337e2af30fac1b1f3ffe40b1178734384dcf74406ced167ed3284761e8c35,7ff63a09e2ebf4a5d0edf4fce265395b6cb5d497b5594dc43b951800c2cb79eb,1
sequence.fasta 24.txt,"NZ_CP007029.1 Thioalkalivibrio paradoxus ARh 1 chromosome, complete genome",NZ_CP007029.1,3756729,3756729,True,True,,ec8b0b6e6e93147a26219b58245e5a09a74a1fb682b991a1fa9d356b8ec2509e,803291f95107e0306a934041c4a467da4c516f1206d57de286481dc05e385e4f,1
sequence.fasta 23.txt,"NC_020517.1 Bifidobacterium breve UCC2003, complete sequence",NC_020517.1,2422684,2422684,True,True,,e96f3b5e12b7760703c24c9924c7ea1b1a1eac0ef24f5c95487b7123c839012a,df3a09276d6aab0f9431cefac66b06a0309d9b333b34c62485f181556486015e,1
sequence.fasta 22.txt,"NC_017173.1 Clostridioides difficile CF5, complete sequence",NC_017173.1,4159517,4159517,True,True,,e1cb6851e47dd317b49cdd2b21549c3be5b6f576b1b1e70054ebac7b3639b004,15379da899cefe68db5e960d61dd2d3205d9fdf74b78eb27ba1961e8386548b8,1
sequence.fasta 21.txt,"NZ_CP009751.1 Bordetella pertussis B1917 chromosome, complete genome",NZ_CP009751.1,4102186,4102186,True,True,,c3a74b1780334a70f689266b0299900ef265bf0b3db1d48ec17634e5e93f27c4,48af3be6cfe01ce5d6ad673bfc3078a186a05edfdf14b931571b5e7896d72c21,1
sequence.fasta 20.txt,"NC_020547.2 Acinetobacter baumannii D1279779, complete sequence",NC_020547.2,3704284,3704284,True,True,,b1fba773d8f7fb0395c82ed78e413fff8fa4d49e754283842fc6a9f7755d3393,f7d0d74378df3f591b63d79c30432f5d1e747492675cd07dc45fba45a28ee309,1
sequence.fasta 19.txt,"NZ_CP005986.1 Acidithiobacillus caldus ATCC 51756 chromosome, complete genome",NZ_CP005986.1,2777717,2777717,True,True,,8926bb95d36707fe9ddf6320c0c1b733ede1cf031f39741c69d58f44f8759354,0095e3bc487b11f149b4c3b8c3b402071a55f36594c5732fda9019c9f564604e,1
sequence.fasta 18.txt,"NZ_CP020947.1 Rhizobium sp. CIAT894 chromosome, complete genome",NZ_CP020947.1,4426159,4426159,True,True,,5e3e6965befd09e589de745483dbcdef8b56cf982b634e510ddc11780376ab30,70fad7df949d3a3a5086f2bb10b2628b77779ab21eed4e6e8745f53b042f739c,1
sequence.fasta 17.txt,"NC_022124.1 Prevotella sp. oral taxon 299 str. F0039, complete sequence",NC_022124.1,709850,709850,True,True,,44df64e31e9475515553a1c5df8d936f6fb9d32568a0a41f1bc447c39d8cadc7,8e0d7be2d9dd42fca81cf538f3f5c4059990ca50635c598ac67ab44183d291fb,1
sequence.fasta 16.txt,"NC_020995.1 Enterococcus casseliflavus EC20, complete sequence",NC_020995.1,3427276,3427276,True,True,,76ed462e255b96814a630f4eed7b550c4d968fe1373bf433d13b320078d39328,d10e9b4d488eda5868b815be5747a7d1991ab61777e1ad742d396a60782d7445,1
sequence.fasta 15.txt,"NZ_CP028414.1 Streptococcus mitis NCTC 12261 chromosome, complete genome",NZ_CP028414.1,1868883,1868883,True,True,,db35e08b9d489c839cd0c51ba8f16e8e6686e3226768b087793838620ea81a1f,e7f27877812d475c6228b6f259617d4081884d6d4365665ec7dccaafe1998238,1
sequence.fasta 14.txt,"NC_020419.1 Candidatus Endomicrobiellum trichonymphae, complete sequence",NC_020419.1,1125857,1125857,True,True,,699ab696f81c642c921ede1f108f084d23343fd814caa22c5e4a591cfbc767e2,8f083c055c0017850d56120c7ec8235c1d6b191de6ab61f5fc4f9b08b608faa2,1
sequence.fasta 13.txt,"NZ_CP001668.1 Mycoplasma mycoides subsp. capri str. GM12 chromosome clone deltatypeIIIres, complete genome",NZ_CP001668.1,1084586,1084586,True,True,,f1008bdb0799a9cdfe31ba96a29296873371941e3d4a0c4141256ea846fbea76,046dd6b43f6e4b85762d604f841ade3765d7664bd691e1a928df5e4b8e92ab56,1
sequence.fasta 12.txt,"NC_017463.1 Francisella tularensis subsp. holarctica OSU18, complete sequence",NC_017463.1,1895727,1895727,True,True,,350478cba752d78edc137ef709d6fbc48afcf333aca84c55853e7dd6e31313f0,5c6adcfc5eb74a01fc1ebcf1d54d4820bf53579deba151ab8bdcc98fb24c3242,1
